,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1,2024-01-01,0.631,0.6084,0.6153,51530211.19,31921207.28,0.6298,direct,
2,2024-01-02,0.6401,0.622,0.6298,110546530.68,69654840.01,0.6246,direct,
3,2024-01-03,0.6392,0.4962,0.6246,293721732.66,170644081.94,0.5826,direct,
4,2024-01-04,0.5945,0.57,0.5826,137197824.0,79903590.51,0.5874,direct,
5,2024-01-05,0.5892,0.5547,0.5874,143719056.52,82120434.08,0.5763,direct,
6,2024-01-06,0.5764,0.5574,0.5763,49445214.73,28101990.35,0.5683,direct,
7,2024-01-07,0.5732,0.5465,0.5683,54757191.49,30841077.57,0.5518,direct,
8,2024-01-08,0.5821,0.5453,0.5518,171092528.93,96955976.7,0.5781,direct,
9,2024-01-09,0.579,0.555,0.5781,189515721.51,107754625.0,0.5669,direct,
10,2024-01-10,0.6137,0.5494,0.5669,221650304.94,127486286.45,0.6005,direct,
11,2024-01-11,0.6236,0.586,0.6005,181048124.83,109371417.13,0.6019,direct,
12,2024-01-12,0.6034,0.5552,0.6019,145310062.18,85289650.53,0.5698,direct,
13,2024-01-13,0.5774,0.5631,0.5698,40657092.78,23304468.69,0.5746,direct,
14,2024-01-14,0.5926,0.5716,0.5746,61606059.51,35728110.06,0.5759,direct,
15,2024-01-15,0.5889,0.5685,0.5759,81764596.37,47326687.4,0.5753,direct,
16,2024-01-16,0.5798,0.566,0.5753,74597137.1,42860436.47,0.5755,direct,
17,2024-01-17,0.5762,0.5608,0.5755,90698585.08,51694447.57,0.568,direct,
18,2024-01-18,0.5683,0.543,0.568,125180327.57,69806119.11,0.5515,direct,
19,2024-01-19,0.5533,0.5216,0.5515,180870274.98,97774344.94,0.5438,direct,
20,2024-01-20,0.5547,0.5388,0.5438,83032037.65,45424819.94,0.5532,direct,
21,2024-01-21,0.5549,0.5453,0.5532,34988464.11,19297306.88,0.5461,direct,
22,2024-01-22,0.5489,0.5171,0.5461,113225989.96,60345886.42,0.5269,direct,
23,2024-01-23,0.5312,0.4959,0.5269,109986750.46,56293437.0,0.5178,direct,
24,2024-01-24,0.5189,0.5107,0.5178,86334174.14,44447178.88,0.518,direct,
25,2024-01-25,0.5181,0.5037,0.518,88709663.4,45382378.96,0.5135,direct,
26,2024-01-26,0.5355,0.5082,0.5135,91689295.85,47708774.33,0.532,direct,
27,2024-01-27,0.5346,0.5262,0.532,28945667.62,15357729.06,0.5303,direct,
28,2024-01-28,0.5354,0.5211,0.5303,36936884.44,19548273.55,0.5241,direct,
