,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1,2024-01-01,110.25,101.48,101.73,1753352.59,185540221.33,110.02,direct,
2,2024-01-02,117.0,106.05,110.02,3028143.75,336798402.45,106.76,direct,
3,2024-01-03,109.96,84.21,106.76,4773846.78,473070625.93,98.59,direct,
4,2024-01-04,108.13,96.77,98.59,2585745.87,265350577.19,105.02,direct,
5,2024-01-05,105.48,95.4,105.02,2281511.48,227782153.75,100.01,direct,
6,2024-01-06,100.31,91.66,100.01,1636157.59,155614848.08,93.83,direct,
7,2024-01-07,96.81,87.87,93.83,2094142.32,194515458.54,89.49,direct,
8,2024-01-08,99.98,85.49,89.49,4173838.33,387659355.78,98.01,direct,
9,2024-01-09,104.15,95.45,98.01,3129752.84,312351025.26,99.45,direct,
10,2024-01-10,105.6,92.23,99.45,3474342.48,339477432.84,102.01,direct,
11,2024-01-11,107.19,97.55,102.01,3594533.54,365424742.88,99.9,direct,
12,2024-01-12,100.47,86.94,99.9,2731880.98,260070066.81,92.06,direct,
13,2024-01-13,97.29,89.53,92.06,1888782.34,176768882.52,95.84,direct,
14,2024-01-14,104.4,93.68,95.84,2987574.61,292699629.29,93.8,direct,
15,2024-01-15,96.89,93.01,93.8,1536863.86,146162213.98,94.32,direct,
16,2024-01-16,98.69,94.1,94.32,1246224.56,120612864.67,97.59,direct,
17,2024-01-17,102.7,96.72,97.59,2974026.0,298186323.38,102.07,direct,
18,2024-01-18,103.45,91.48,102.07,2507855.75,243385487.07,94.31,direct,
19,2024-01-19,95.34,87.02,94.31,2574171.47,236970884.44,93.59,direct,
20,2024-01-20,94.13,90.17,93.59,907320.39,83748239.1,92.75,direct,
21,2024-01-21,93.85,90.74,92.75,707411.46,65332591.64,91.0,direct,
22,2024-01-22,91.83,82.01,91.0,2534638.92,219210749.54,83.74,direct,
23,2024-01-23,85.87,78.91,83.74,2763767.53,225799604.31,84.29,direct,
24,2024-01-24,89.37,83.29,84.29,2063990.75,178313499.48,88.74,direct,
25,2024-01-25,89.54,85.07,88.74,1575341.86,137852670.3,86.86,direct,
26,2024-01-26,93.68,85.91,86.86,1916390.82,174425970.74,92.23,direct,
27,2024-01-27,94.62,90.69,92.23,1151145.31,106729187.42,94.26,direct,
28,2024-01-28,99.42,93.48,94.26,1942018.87,186982453.62,95.97,direct,
29,2024-01-29,101.95,95.07,95.97,2399982.82,238040517.8,101.67,direct,
30,2024-01-30,106.39,100.99,101.67,2865235.34,297805475.9,101.4,direct,
31,2024-01-31,102.72,95.89,101.4,3299222.52,328718164.93,96.89,direct,
